Q21978/165-314 LOG_PROB=-202.55030308918657
Q20638/74-216 LOG_PROB=-203.1711133409609
Q19601/54-189 LOG_PROB=-198.48678660971044
Q18311/32-175 LOG_PROB=-201.33789805616266
Q18209/233-375 LOG_PROB=-200.37076447332308
Q9ZAX1/42-162 LOG_PROB=-203.3727822787238
LGB1_MEDSA/7-142 LOG_PROB=-182.57549178770387
LGB1_LUPLU/7-145 LOG_PROB=-183.4316176732199
HBP2_CASGL/13-152 LOG_PROB=-185.3829003017877
HBP1_CASGL/6-145 LOG_PROB=-187.6833952176208
GLP1_GLYDI/7-141 LOG_PROB=-188.02198738413142
GLB1_GLYDI/6-141 LOG_PROB=-185.28287552519848
HMPA_ECOLI/6-131 LOG_PROB=-197.37186687442963
BAHG_VITST/6-133 LOG_PROB=-193.33555266539582
GLB_TUBTU/6-139 LOG_PROB=-183.00420583023842
GLB3_LAMSP/7-141 LOG_PROB=-181.67382056492917
GLB2_TYLHE/9-142 LOG_PROB=-184.66361203446712
GLB2_LUMTE/8-141 LOG_PROB=-183.75313891594368
GLB1_TYLHE/7-136 LOG_PROB=-189.95711952341625
GLB4_TYLHE/8-143 LOG_PROB=-185.11086030014394
GLB3_TYLHE/8-143 LOG_PROB=-184.37513313561755
GLB4_LUMTE/11-146 LOG_PROB=-187.31105704575938
GLB_CERRH/6-146 LOG_PROB=-184.50164518848396
GLB_BUSCA/6-146 LOG_PROB=-184.24423901353003
GLBB_ANATR/16-151 LOG_PROB=-189.98416833115166
GLB_APLJU/6-139 LOG_PROB=-188.85918625609293
GLBX_CHITH/11-145 LOG_PROB=-180.35186319918185
GLBC_CHITH/23-157 LOG_PROB=-176.48073884144762
GLB6_CHITH/22-156 LOG_PROB=-178.71093286132825
GLB8_CHITH/9-143 LOG_PROB=-181.15754941108148
GLB2_CHITH/22-156 LOG_PROB=-183.03120981654337
GLB3_CHITH/20-147 LOG_PROB=-188.61959607572862
GLB1_CHITH/21-154 LOG_PROB=-182.26661275975218
GLBT_CHITH/13-142 LOG_PROB=-186.68852838741532
GLB1_PARCH/16-152 LOG_PROB=-185.86244528828598
GLB2_CALSO/5-129 LOG_PROB=-200.53820029763202
GLB1_CALSO/5-136 LOG_PROB=-193.80068556775748
MYG_HETPO/2-137 LOG_PROB=-183.74680751108485
MYG_GALGA/2-137 LOG_PROB=-183.95796577788042
MYG_CYPCA/2-135 LOG_PROB=-179.96941435433018
MYG_ALLMI/7-143 LOG_PROB=-186.93049705658817
HBB_SQUAC/7-137 LOG_PROB=-172.04969834111876
HBB_HETPO/7-136 LOG_PROB=-180.95126449303922
HBB_RANCA/1-135 LOG_PROB=-180.33690706983091
HBB1_XENBO/6-140 LOG_PROB=-172.33228953733615
HBB_LEPPA/7-142 LOG_PROB=-177.03255458106605
HBB1_CYGMA/7-141 LOG_PROB=-173.94259031608902
HBB_ALLMI/7-141 LOG_PROB=-173.47488587336238
HBBN_AMMLE/2-136 LOG_PROB=-185.1160454198422
HBB0_MOUSE/7-141 LOG_PROB=-166.7042986494238
HBB2_XENLA/7-141 LOG_PROB=-166.95466014442596
HBA_SQUAC/6-136 LOG_PROB=-173.81694734312006
HBA1_TORMA/6-136 LOG_PROB=-174.93265273205523
HBA_HETPO/13-143 LOG_PROB=-172.73923782587656
HBA_LEPPA/7-138 LOG_PROB=-178.32925899485164
HBA_LIOMI/6-136 LOG_PROB=-173.65425141237688
HBAD_PASMO/6-136 LOG_PROB=-168.27177465248738
HBAZ_CAPHI/6-136 LOG_PROB=-168.00854337689157
HBA3_PLEWA/7-137 LOG_PROB=-168.11645198067794
HBAT_HORSE/6-136 LOG_PROB=-176.09866773491143
HBA1_BOSMU/6-136 LOG_PROB=-165.18293035001227
HBA1_IGUIG/6-136 LOG_PROB=-170.35660636894684
HBA1_XENBO/6-136 LOG_PROB=-176.00700003531975
HBA1_PLEWA/6-136 LOG_PROB=-175.88110831113238
HBA_CATCL/6-137 LOG_PROB=-176.33692324866448
HBAM_RANCA/6-129 LOG_PROB=-182.19584006094576
GLB_PAREP/6-143 LOG_PROB=-197.42729831021538
GLB_ISOHY/6-144 LOG_PROB=-197.02206326703438
GLB_PSEDC/21-162 LOG_PROB=-191.23562713234426
GLB_ASCSU/21-162 LOG_PROB=-189.6005338132619
GLBH_TRICO/30-161 LOG_PROB=-192.17848679509774
GLB2_NIPBR/16-142 LOG_PROB=-192.34228241733956
GLBC_NIPBR/21-161 LOG_PROB=-190.22374092562785
GLBH_CAEEL/9-147 LOG_PROB=-190.4635751436938
Q17767/38-177 LOG_PROB=-208.0404498059869
HBF1_URECA/6-141 LOG_PROB=-197.2102966793894
