Q9ZP28/6-366 LOG_PROB=-775.0191975929291
Q9FER6/6-366 LOG_PROB=-775.3525628831862
Q9SBX2/6-362 LOG_PROB=-763.9784952520774
Q9SBX3/6-367 LOG_PROB=-778.8466190268251
Q9FER7/8-367 LOG_PROB=-774.708443166182
Q9SSZ4/16-382 LOG_PROB=-795.1513758908573
Q9XGB9/1-298 LOG_PROB=-588.7511093812136
Q9XFZ4/5-364 LOG_PROB=-776.5675637585002
VPE_CITSI/8-375 LOG_PROB=-795.6045103918512
Q9XFZ5/9-363 LOG_PROB=-756.8101125499754
Q9AUD9/10-364 LOG_PROB=-756.5462928116774
O24325/11-365 LOG_PROB=-756.3409875125603
VPE_VICSA/10-374 LOG_PROB=-790.2542259991744
Q9M4R6/7-373 LOG_PROB=-793.7576782015273
VPEG_ARATH/8-371 LOG_PROB=-784.3685908835441
Q93VM0/12-375 LOG_PROB=-784.3685908835441
VPEA_ARATH/5-360 LOG_PROB=-759.7880289955422
Q93WW7/1-80 LOG_PROB=-231.20732666787018
Q949L7/9-367 LOG_PROB=-775.4625888273647
Q9XG76/1-301 LOG_PROB=-597.798287759075
Q9LLQ4/13-370 LOG_PROB=-769.9628319959756
VPE_RICCO/17-378 LOG_PROB=-783.9502735274426
VPEB_ARATH/10-367 LOG_PROB=-770.1559942234719
Q9LLQ5/19-377 LOG_PROB=-776.1837548610181
VPE_SOYBN/18-376 LOG_PROB=-776.537416510587
O24326/20-374 LOG_PROB=-764.1092972383072
LEGU_CANEN/1-356 LOG_PROB=-768.2224530048264
O82102/26-384 LOG_PROB=-778.8612910131488
O24539/9-369 LOG_PROB=-781.0162019721641
Q9ZT14/1-292 LOG_PROB=-573.6079141539648
HGL2_FASHE/2-22 LOG_PROB=-278.2689677042012
Q8GS39/7-377 LOG_PROB=-801.9715331843825
Q8VZY0/4-346 LOG_PROB=-719.4210205428197
Q9XG75/1-296 LOG_PROB=-587.742227794252
Q9SMD0/8-359 LOG_PROB=-756.0689714812318
Q9LWZ3/5-346 LOG_PROB=-719.1135770295416
Q9LJX8/11-362 LOG_PROB=-751.0962742634288
Q8LGK2/11-362 LOG_PROB=-751.7928814345773
Q9U589/1-187 LOG_PROB=-291.67427194285176
Q17945/4-344 LOG_PROB=-713.86573577912
Q9NFY9/5-333 LOG_PROB=-683.8597258805024
HGLB_SCHMA/5-333 LOG_PROB=-683.269743400568
HGL1_FASHE/2-20 LOG_PROB=-282.47939155969055
HGLB_SCHJA/4-327 LOG_PROB=-668.3864586498844
LGMN_RAT/6-330 LOG_PROB=-673.8842153035397
LGMN_MOUSE/6-330 LOG_PROB=-673.0638110967226
Q9BTY1/2-327 LOG_PROB=-678.5242830989567
LGMN_HUMAN/2-327 LOG_PROB=-678.6421334022574
Q95M12/2-328 LOG_PROB=-680.5167145684026
Q8VWT3/1-48 LOG_PROB=-250.17071411723853
GPI8_SCHPO/1-310 LOG_PROB=-625.7414998362951
GPI8_YEAST/9-337 LOG_PROB=-685.8522311152692
GPI8_MOUSE/12-328 LOG_PROB=-650.4177920735202
Q8BL63/12-375 LOG_PROB=-786.8215567970709
Q8BXX3/12-328 LOG_PROB=-649.8325724350196
Q8BH63/12-328 LOG_PROB=-649.8325724350196
GPI8_HUMAN/12-328 LOG_PROB=-650.3843288353274
Q8TC22/12-328 LOG_PROB=-649.7564677688782
Q8T4E1/9-327 LOG_PROB=-651.263601326075
O46047/9-326 LOG_PROB=-648.3655053793352
Q9FRR3/2-310 LOG_PROB=-624.6853191784179
Q8LFF3/2-327 LOG_PROB=-674.8891341985458
Q8GYI6/2-327 LOG_PROB=-674.8891341985458
GPI8_CAEEL/15-320 LOG_PROB=-616.008044124272
Q8MPF3/58-404 LOG_PROB=-726.8360072583805
Q9U5N7/18-338 LOG_PROB=-652.3484690360248
Q95P06/3-314 LOG_PROB=-633.9752106750659
Q8II76/32-388 LOG_PROB=-774.253837722096
Q9N9C8/32-388 LOG_PROB=-774.253837722096
Q8SQM7/9-277 LOG_PROB=-501.1682245121659
Q8WSX4/1-309 LOG_PROB=-630.3861682064882
